ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
16384,16384,1411.00,32,35.09,249505164
24576,8192,1319.25,32,34.38,362259852
32768,8192,1261.96,32,32.55,475014540
