ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,1435.38,32,36.87,52184460
4096,2048,1467.30,32,36.17,80373132
6144,2048,1443.42,32,36.05,108561804
8192,2048,1427.04,32,35.28,136750476
