file	sha256	normalized_sha256	rendered_text_sha256	magic	version	quant	reason	reason_name	ext_flags	tokens	hits	ctx	created_unix	last_used_unix	payload_bytes	rendered_text_bytes	trailer_bytes	size_bytes
0ab2314538b11686a11e296b7f697651fbd17e60.kv	77375d70ebeeb24893450937ab66d16a7c9f501797756c9070539d105b8732be	b47be310bdc5a3a3ec25543ba0bd7a0b2f0c3992e32ead9f7153a50176a3fae4	73adfe87d8950dde4b5a33d45b2fadb717c0370421ca05b3c4257360a8bbd1f1	KVC	1	2	1	cold	0	550	1	32768	1779417499	1779417514	31526948	2520	0	31529520
4f149e59b256cc9d4ae7d1c828954ed07e2f3dcf.kv	224888ef76c3c583b17d18ce4218b34eaa795568c882a4b4a545dbf4d190a0ae	cf23092fe9138cdbbf5f25553ace154074b7d735d57425e6c1356d42f85689f4	9c100a54db2292a9324ae7e33e0a949a02d9aa29933e7b4fe8f701a57fb312a3	KVC	1	2	4	shutdown	0	563	0	32768	1779417530	1779417530	31688280	2632	0	31690964
a0cac6ff193696ccb5d7e9ae151d7255d39cf161.kv	972fcb8da89f327de77b98defbb5b9a8ad4469041ffafdd272c6f248d0370a10	70b42f89f6b26f6e188a87f39c1482c612c4d8b269fd4cb012f0e50b875b7d68	f179cc9e845ef94838bc456b24567c32aaa5d60b0e28f7d016fd1db598262a22	KVC	1	2	4	shutdown	0	552	1	32768	1779417499	1779417529	31580716	2528	0	31583296
